Atom,Functional,Allel,PSP
H,PBE,-0.45892859724952,-0.45891656276691
H,PBE0,-0.436114413920653,-0.436092193456158
H,B3LYP-G,-0.44809787799911,-0.448068170683229
Li,PBE,-7.45137204593354,-7.44799351466264
Li,PBE0,-7.44622307712773,-7.44251322807925
Li,B3LYP-G,-7.47698011054751,-7.47326644305524
Be,PBE,-14.6299477231579,-14.5787474510302
Be,PBE0,-14.636641432719,-14.5644180175468
Be,B3LYP-G,-14.673328175522,-14.6016666380262
B,PBE,-24.5955764600398,-24.5569084894505
B,PBE0,-24.56800282934,-24.5520481277244
B,B3LYP-G,-24.6213298425721,-24.6004940293148
C,PBE,-37.7482087788509,-37.6587349771688
C,PBE0,-37.6818032509519,-37.6017171507445
C,B3LYP-G,-37.7540270724012,-37.6678463978653
N,PBE,-54.4209965091176,-54.1949090170502
N,PBE0,-54.3249992006807,-54.0883074211769
N,B3LYP-G,-54.4153090343962,-54.1246475088737
O,PBE,-74.9451927353216,-74.6333031032455
O,PBE0,-74.8423075914939,-74.5659071462198
O,B3LYP-G,-74.9468156374082,-74.5010142571652
F,PBE,-99.6507009605641,-98.7508448461663
F,PBE0,-99.5770832137766,-99.0258064564644
F,B3LYP-G,-99.6888813304681,-98.9281878990179
Na,PBE,-162.164594440567,-50.9057517945294
Na,PBE0,-162.166365425959,-50.2090463970603
Na,B3LYP-G,-162.289365623438,-50.4144764988112
Mg,PBE,-199.955115150187,-66.1633570228132
Mg,PBE0,-199.970695252109,-65.5724593496213
Mg,B3LYP-G,-200.103549915973,-66.0161811793783
Al,PBE,-242.224964023979,-84.7590428370313
Al,PBE0,-242.22208217755,-83.3259489817241
Al,B3LYP-G,-242.368783546847,-83.9501477776801
Si,PBE,-289.20275283901,-102.724844156809
Si,PBE0,-289.180321231782,-103.65784672608
Si,B3LYP-G,-289.3400741307,-103.766548212442
P,PBE,-341.046984239912,-126.770126294207
P,PBE0,-341.012101202719,-128.136219508254
P,B3LYP-G,-341.183073915965,-127.741610097912
S,PBE,-397.914814403023,-152.689980802771
S,PBE0,-397.881905481908,-154.419976072787
S,B3LYP-G,-398.06089096636,-155.102440316576
Cl,PBE,-459.962588446656,-182.687736734858
Cl,PBE0,-459.953062061351,-181.492449609063
Cl,B3LYP-G,-460.135408838828,-182.042799626437
